marital,family,ses,cig1,gender,age
1,1,0.756,1,1,12.36
0,1,-0.479,1,0,12.08
0,1,-0.479,1,0,14.03
0,1,-0.479,1,1,15.62
0,1,-0.479,1,0,18.53
1,2,0.631,1,1,12.16
1,2,0.631,1,0,14.2
1,2,0.631,2,1,34
1,2,0.631,3,0,41
1,1,0.746,1,0,12.76
1,1,0.746,1,1,16.11
1,1,0.746,1,1,41
1,2,0.969,1,0,11.37
1,2,0.969,1,1,12.44
1,2,1.108,1,1,15.46
1,2,1.108,1,1,46
1,2,1.108,2,0,39
0,1,-0.843,1,0,11.03
0,1,-0.843,1,1,15.3
0,1,-0.843,4,1,42
1,2,0.644,2,1,37
1,1,1.066,1,0,11.48
1,1,1.066,1,0,45
0,1,-1.053,2,0,15.73
0,1,-1.053,2,0,17.56
1,1,1.908,1,0,11.4
1,1,1.908,1,0,14.31
1,1,1.908,1,1,17.48
1,1,1.908,1,1,42
1,1,1.908,1,0,43
1,2,0.392,5,1,14.72
1,2,0.392,5,1,42
1,2,0.392,2,0,46
1,1,0.799,2,0,11.45
1,1,0.799,3,1,33
0,1,-1.026,1,1,14.45
0,1,-1.026,4,1,46
1,1,0.666,5,1,37
1,1,0.666,2,0,39
0,1,-0.871,1,0,11.42
0,1,-0.871,3,1,44
0,1,-0.983,2,0,15.36
0,1,-0.983,2,1,16.48
0,1,-0.983,1,1,43
0,2,-0.654,4,0,13.82
0,2,-0.654,2,1,35
0,1,-0.479,1,0,15.32
0,1,-0.479,1,1,42
1,2,-0.563,4,0,13.28
1,2,-0.563,4,0,17.9
1,2,-0.563,1,1,39
0,1,-0.886,1,0,12.69
0,1,-0.886,1,0,14.98
0,1,-0.886,1,1,40
1,2,1.151,2,0,11.72
1,2,1.151,1,1,33
1,2,1.151,4,0,38
0,1,-0.638,2,0,14.78
0,1,-0.638,4,1,43
1,2,-1.201,3,0,13.28
1,2,-1.201,1,1,34
0,1,-0.703,3,1,11.61
0,1,-0.703,4,1,38
1,1,1.458,4,0,15.53
1,1,1.458,4,1,17.41
1,1,1.086,2,1,37
1,2,1.121,1,1,41
1,1,0.806,1,1,14.15
1,1,0.806,1,0,33
1,1,1.404,1,0,12.06
1,1,1.404,1,1,15.26
0,1,-0.73,1,1,13.67
0,1,-0.73,5,1,44
1,1,0.841,2,1,33
1,1,0.841,1,0,31
0,1,-0.626,1,0,11.77
0,1,-0.626,1,1,30
1,1,0.581,1,0,14.6
1,1,0.581,1,1,33
1,1,0.581,1,0,46
1,1,1.066,1,1,12.98
1,1,1.066,1,1,44
1,1,1.066,1,0,45
1,1,1.318,1,0,11.55
1,1,1.318,1,1,39
1,1,1.318,1,0,39
0,1,-0.878,2,0,12.66
0,1,-0.878,2,0,18.86
0,1,-0.878,2,0,43
1,2,1.346,1,1,42
1,2,1.346,1,0,47
1,1,0.884,1,1,12.74
1,1,0.884,1,1,14.41
1,1,0.884,2,1,34
0,1,-0.843,2,0,15.75
0,1,-0.843,3,1,36
1,1,1.234,1,1,13.19
1,1,1.234,1,0,15.55
1,1,1.234,1,1,16.79
1,1,1.234,1,0,43
1,1,1.081,1,1,13.76
1,1,1.081,1,1,15.61
1,1,1.081,2,1,37
0,1,-0.738,1,0,11.99
0,1,-0.738,1,0,14.45
0,1,-0.738,1,0,16.28
1,1,1.353,1,1,43
0,1,-0.913,3,0,13.93
0,1,-0.626,2,1,12.55
0,1,-0.626,2,1,17.11
1,2,-0.928,1,0,16.7
1,2,-0.928,2,1,39
1,1,0.961,3,0,13.74
1,1,0.961,3,0,16.2
1,1,0.961,3,0,16.2
1,2,0.616,2,1,31
1,1,0.126,2,0,14.4
1,1,0.126,2,1,16.62
1,1,0.421,2,1,11.05
1,1,0.421,1,1,34
1,1,0.421,2,0,41
0,1,-0.738,1,1,35
0,1,-0.444,5,0,15.99
0,1,-0.444,5,1,17.63
0,1,-0.444,2,1,42
1,2,0.506,1,1,13.01
1,2,0.506,1,1,32
1,1,0.604,1,1,11.41
1,1,0.604,1,1,15.07
1,1,0.604,1,1,41
0,1,-0.479,1,0,12.18
0,1,-0.479,1,1,11.24
0,1,-0.479,1,1,37
1,1,0.861,3,1,13.34
1,1,0.861,3,1,14.99
1,1,0.861,3,1,16.65
1,1,0.861,2,1,39
0,1,-0.731,1,1,15.02
0,1,-0.479,1,0,12.69
0,1,-0.479,2,1,41
0,1,-0.281,1,1,11.08
1,2,0.883,2,1,14.14
1,2,0.883,2,1,38
1,2,0.883,2,0,32
0,1,-0.976,1,0,11.13
0,1,-0.976,4,1,43
0,1,-0.689,2,1,15.89
0,1,-0.759,2,0,11.46
0,1,-0.759,1,1,33
0,1,-1.131,1,1,14.71
0,1,-1.131,1,1,34
0,1,-0.633,2,0,14.55
0,1,-0.633,1,1,37
1,1,0.364,2,0,32
1,2,-0.773,2,1,11.49
1,2,-0.773,1,1,33
0,1,-0.976,2,1,11.79
0,1,-0.976,3,1,29
1,1,-0.091,1,1,12.03
1,1,-0.091,2,1,29
0,1,-1.166,2,1,15.62
0,1,-1.166,2,1,14.18
1,1,0.911,1,1,11.12
1,1,0.911,3,1,37
1,1,0.911,1,0,38
1,1,0.476,1,1,11.86
1,1,0.476,2,1,35
1,1,0.476,1,0,34
1,2,0.899,4,0,11.02
